№;Улица;Номер;Вид объекта;Полный адрес;Кадастровый номер;Дата внесения записи в ГАР;Дата документа-основания;Номер документа-основания;Наименование документа-основания;Последнее обновление записи;Статус записи;ID ФИАС;Почтовый индекс;ОКТМО;Примечания;Реестровый номер записи;objectId (ГАР)
51;ул. Алмазная;57 строение А;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 57 строение А;;22.06.2026;18.06.2026;01/05-412;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;8f74735c-f2ce-43f8-b42d-b407897f47dd;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530005000000000;180104023
52;ул. Алмазная;57 строение Б;Здание;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, здание 57 строение Б;;22.06.2026;18.06.2026;01/05-412;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;0e7fd833-9dca-487b-9dd3-a0c9a6a24814;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000530004000000000;180104022
53;ул. Алмазная;58;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 58;;19.06.2026;19.06.2026;01/05-396;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;19.06.2026;Актуальная;abc2e69b-33a0-4795-8725-d3bf0a16382a;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510032000000000;180066441
54;ул. Алмазная;59;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 59;96:01:0005445:291;22.06.2026;18.06.2026;01/05-408;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;3a75f60b-0ba5-4931-a0ec-5278ec55d4d3;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510040000000000;180104016
55;ул. Алмазная;60;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 60;;22.06.2026;18.06.2026;01/05-417;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;9f245be1-e4ba-4d8f-b202-935ca11b1737;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510033000000000;180103909
56;ул. Алмазная;61/1;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 61/1;96:01:0005445:296;22.06.2026;18.06.2026;01/05-403;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;8e9db71f-a95a-4c54-a1df-1d544002e889;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510036000000000;180104011
57;ул. Алмазная;61/2;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 61/2;96:01:0005445:283;22.06.2026;18.06.2026;01/05-411;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;27e7ae41-1c11-4748-83ac-7e861043175a;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510042000000000;180104019
58;ул. Алмазная;61/3;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 61/3;96:01:0005445:297;22.06.2026;18.06.2026;01/05-404;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;8e679921-26cb-4f3d-95eb-4163bf6b523e;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510037000000000;180104012
59;ул. Алмазная;62;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Алмазная, земельный участок 62;96:01:0005445:298;22.06.2026;18.06.2026;01/05-405;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;22.06.2026;Актуальная;94237720-05b7-481e-86fb-1597b3f313d1;;74517000000;"индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000510038000000000;180104013
60;ул. Набережная;10;Земельный участок;Херсонская область, муниципальный округ Генический, село Бухта, улица Набережная, земельный участок 10;;23.06.2026;22.06.2026;01/05-436;О присвоении адреса объекту адресации на территории муниципального образования Генический муниципальный округ Херсонской области;23.06.2026;Актуальная;3182083a-4923-41ea-bc21-0aafb66ad084;;74517000000;"нет кадастрового номера; индекс не присвоен; ОКТМО бюдж.:74517000;ОКАТО:74217000000;ИФНС:9500";745170000000000000410029000000000;180132321
